Algorithm,Bach,Beethoven,Chopin,Gibbons,Mozart
ReForthCTBB,399,2475,5415,64,3075
ReForthCTBB-RRT,419,2514,5416,64,3091
ReForthCTSegment,407,2475,5240,66,3148
ReForthCTSegment-RRT,459,2536,5385,65,3109
ReForthR,4892,30769,58356,436,41821
ReForthR-RRT,4902,32063,65967,455,43123
ReForthRBB,4874,30719,60938,494,43132
ReForthRBB-RRT,4965,32209,63996,454,44567
ReForthRCT,1899,9131,14664,180,11638
ReForthRCT-RRT,1857,9059,14927,237,11576
ReForthRCTBB,1840,8949,14640,200,11585
ReForthRCTBB-RRT,1849,9143,15259,202,11541
ReForthRCTSegment,1845,9103,14684,185,11551
ReForthRCTSegment-RRT,1826,9110,14699,187,11750
ReForthRSegment,4988,31062,62414,469,42401
ReForthRSegment-RRT,4953,31669,64383,454,43173
ReForthSegment,5938,34500,159028,513,86040
ReForthSegment-RRT,6071,35578,162190,601,87194
ReSIACTTECCompress,520,2547,5186,67,3172
ReSIACTTECCompress-RRT,481,2639,5398,69,3232
ReSIACTTECCompressBB,478,2491,5232,63,3193
ReSIACTTECCompressBB-RRT,492,2624,5322,69,3188
ReSIACTTECCompressSegment,458,2562,5173,63,3222
ReSIACTTECCompressSegment-RRT,475,2630,5285,69,3285
ReSIARCTTECCompress,1903,9353,14982,225,11775
ReSIARCTTECCompress-RRT,1916,9526,15039,183,11717
ReSIARCTTECCompressBB,1902,9236,14961,180,11647
ReSIARCTTECCompressBB-RRT,1915,9483,15628,244,11656
ReSIARCTTECCompressSegment,1898,9123,15323,177,11561
ReSIARCTTECCompressSegment-RRT,1924,9414,15233,236,12096
ReSIARTECCompress,5966,49901,96929,559,60667
ReSIARTECCompress-RRT,6066,51856,102721,659,61834
ReSIARTECCompressBB,5898,49826,98349,550,60733
ReSIARTECCompressBB-RRT,6131,51583,102885,594,62031
ReSIARTECCompressSegment,6016,50024,98135,585,60493
ReSIARTECCompressSegment-RRT,6147,51729,102093,587,61886
ReSIATECCompress,7439,52133,178118,659,100893
ReSIATECCompress-RRT,7699,53603,185724,726,102655
ReSIATECCompressBB,7434,51976,175794,623,100905
ReSIATECCompressBB-RRT,7735,54178,185418,689,102935
ReSIATECCompressSegment,7443,52092,176815,622,99957
ReSIATECCompressSegment-RRT,7878,54113,184972,720,102237
SIACTTECCompress,463,2651,5366,134,3154
SIACTTECCompress-RRT,501,2641,5284,113,3138
SIACTTECCompressBB,454,2580,5188,84,3184
SIACTTECCompressBB-RRT,488,2644,5295,70,3256
SIACTTECCompressSegment,453,2563,5185,74,3234
SIACTTECCompressSegment-RRT,483,2664,5368,82,3207
SIARCTTECCompress,1902,9285,14966,192,11840
SIARCTTECCompress-RRT,1919,9292,15064,215,11647
SIARCTTECCompressBB,1911,9125,14858,206,11669
SIARCTTECCompressBB-RRT,1927,9369,15089,204,11635
SIARCTTECCompressSegment,1903,9303,14943,207,11560
SIARCTTECCompressSegment-RRT,1912,9400,15100,188,11651
SIARTECCompress,5951,49060,93849,691,59064
SIARTECCompress-RRT,6116,49943,97530,606,59983
SIARTECCompressBB,5969,47850,93471,577,58665
SIARTECCompressBB-RRT,6150,49893,97059,595,59955
SIARTECCompressSegment,5960,48332,93596,655,58686
SIARTECCompressSegment-RRT,6218,50074,96663,601,60131
SIATECCompress,7489,53311,181939,698,101726
SIATECCompress-RRT,7718,53748,185430,863,102749
SIATECCompressBB,7353,52009,179463,650,101601
SIATECCompressBB-RRT,7659,53795,184161,853,103596
SIATECCompressSegment,7438,51787,179364,663,101720
SIATECCompressSegment-RRT,7723,53802,184450,872,102587
